"(Intercept)","logN"
-2.89787079937349,-0.503872765285641
-2.36303108595609,-0.749637184542375
-2.74434705265316,-0.571189665627869
-2.46264557904155,-0.700758249871135
-2.54624043431525,-0.659791549763952
-2.99544718786761,-0.458848611612415
-3.06340231898678,-0.429890189339202
-2.44947578719485,-0.704613116919164
-2.8928445858528,-0.502289619787495
-2.74328449542551,-0.567763791064025
-2.47044397308273,-0.693074715862102
-2.86531846388003,-0.513283840413141
-3.12994625305293,-0.399954847796362
-2.45136116629884,-0.700652175953619
-2.65296758154984,-0.606387364338448
-2.17318190488723,-0.835512022210644
-2.70276611173899,-0.581057628238168
-2.64811925525445,-0.605226326861315
-2.98979895350622,-0.454512891688659
-2.24389868859483,-0.79793547788361
-2.76754227463324,-0.550816786628286
-2.58564161985403,-0.630330671219391
-2.66773088116133,-0.592231657648545
-3.13157921184179,-0.389629434510316
-3.19460412852276,-0.36303317692656
-2.31630662429762,-0.753508759475494
-3.16114159380854,-0.374552706888717
-2.95431293577991,-0.461471650445741
-2.90170472131141,-0.483412840790254
-2.65786779876541,-0.589302337207474
-2.9586733760754,-0.457153790730132
-2.76565377865962,-0.537818826020969
-3.17364065803244,-0.363512624818152
-3.01049337704483,-0.43152948566168
-3.06941125286228,-0.405254137212906
-2.61630434499372,-0.600238373707402
-3.14117608257755,-0.372671997644288
-2.6173806535148,-0.59901597574664
-2.47580493507914,-0.664203401400155
-2.16378133346359,-0.814832876986153
-2.4320758703439,-0.682417216084637
-2.90648158464444,-0.468034327676644
-2.5928222938,-0.606108911810754
-2.5981417318041,-0.603580052118582
-2.84892893117414,-0.492177447184285
-2.18782731263466,-0.79735521377611
-2.33075385213977,-0.726689946073527
-3.09631133307235,-0.384724933513701
-2.58343560950335,-0.607070402870083
-2.74215048077152,-0.535731442802461
-2.80204311227765,-0.508792854253333
-2.91496621925643,-0.459243273603766
-2.86849300678922,-0.478802600457596
-2.44130968423333,-0.670252504934667
-3.06933066127232,-0.392882709394498
-2.60025529634824,-0.591326256424826
-2.95625011475029,-0.435102738091095
-3.12283375428764,-0.365210726011682
-2.56021527685088,-0.608411270037084
-2.98646319101699,-0.420209601737508
-2.4581024721502,-0.653274509067771
-2.73199864489997,-0.52898866861709
-2.93820693961219,-0.439849416773484
-2.58043379158959,-0.594959880944697
-2.83807508589441,-0.480397116955107
-2.3245101832526,-0.709359028887016
-2.55381384671343,-0.60151016238594
-2.33113640084405,-0.70382179455783
-2.74284649869472,-0.515413661924629
-2.68268276273297,-0.538293224422911
-2.9204947165554,-0.429581475648679
-2.33548135147507,-0.690605196127014
-2.71889919268988,-0.515805073524114
-2.64292491279389,-0.548260781862905
-2.69251907042006,-0.52542963383794
-2.90521130519868,-0.43253254138428
-2.50985077324106,-0.601390270870406
-2.4287032952873,-0.6376311372699
-2.6895919945181,-0.517699949082432
-3.03926870206406,-0.363945143765175
-2.92689385267911,-0.410443188830845
-2.21521768630759,-0.727291092152601
-2.94840425491012,-0.394417442869008
-2.73065525855424,-0.484487279911869
-2.34600835468288,-0.650202177657468
-2.69179721221827,-0.491934211944191
-2.97895411916591,-0.36970430794646
-2.18432230751523,-0.719564179137429
-2.45592992242909,-0.585339362404558
-2.83144579608384,-0.417432740546522
-2.93502922521451,-0.361843413889974
-2.48913977928567,-0.550482689041073
