year,month,day,hour,PAR
2012,1,9,22,0
2012,1,9,23,0
2012,1,10,0,0
2012,1,10,1,0
2012,1,10,2,0
2012,1,10,3,0
2012,1,10,4,0
2012,1,10,5,0
2012,1,10,6,0.010921358
2012,1,10,7,26.6052334
2012,1,10,8,40.72610512
2012,1,10,9,136.7141606
2012,1,10,10,140.815648
2012,1,10,11,175.3768884
2012,1,10,12,108.131715
2012,1,10,13,136.977176
2012,1,10,14,69.32635941
2012,1,10,15,33.88595741
2012,1,10,16,22.31108298
2012,1,10,17,1.920761323
2012,1,10,18,0
2012,1,10,19,0
2012,1,10,20,0
2012,1,10,21,0
2012,1,10,22,0
2012,1,10,23,0
2012,1,11,0,0
2012,1,11,1,0
2012,1,11,2,0
2012,1,11,3,0
2012,1,11,4,0
2012,1,11,5,0
2012,1,11,6,0.012023826
2012,1,11,7,1.724095673
2012,1,11,8,39.26983392
2012,1,11,9,44.78514842
2012,1,11,10,75.48990354
2012,1,11,11,73.20213225
2012,1,11,12,94.48625888
2012,1,11,13,53.43784075
2012,1,11,14,48.84706942
2012,1,11,15,44.96448246
2012,1,11,16,13.65193411
2012,1,11,17,0.289762939
2012,1,11,18,0
2012,1,11,19,0
2012,1,11,20,0
2012,1,11,21,0
2012,1,11,22,0
2012,1,11,23,0
2012,1,12,0,0
2012,1,12,1,0
2012,1,12,2,0
2012,1,12,3,0
2012,1,12,4,0
2012,1,12,5,0
2012,1,12,6,0.016588232
2012,1,12,7,8.644826524
2012,1,12,8,50.17151098
2012,1,12,9,91.68830751
2012,1,12,10,127.3651016
2012,1,12,11,124.4362283
2012,1,12,12,124.1771511
2012,1,12,13,57.6336637
2012,1,12,14,28.06676268
2012,1,12,15,2.922062079
2012,1,12,16,20.92915678
2012,1,12,17,0.783077476
2012,1,12,18,0
2012,1,12,19,0
2012,1,12,20,0
2012,1,12,21,0
2012,1,12,22,0
2012,1,12,23,0
2012,1,13,0,0
2012,1,13,1,0
2012,1,13,2,0
2012,1,13,3,0
2012,1,13,4,0
2012,1,13,5,0
2012,1,13,6,0.022417381
2012,1,13,7,5.73398187
2012,1,13,8,28.73439918
2012,1,13,9,80.32441088
2012,1,13,10,100.609537
2012,1,13,11,102.0753644
2012,1,13,12,70.62541705
2012,1,13,13,97.87314427
2012,1,13,14,37.59450651
2012,1,13,15,3.642364222
2012,1,13,16,20.50458146
2012,1,13,17,0.786828569
2012,1,13,18,0
2012,1,13,19,0
2012,1,13,20,0
2012,1,13,21,0
2012,1,13,22,0
2012,1,13,23,0
2012,1,14,0,0
2012,1,14,1,0
2012,1,14,2,0
2012,1,14,3,0
2012,1,14,4,0
2012,1,14,5,0
2012,1,14,6,0.002177758
2012,1,14,7,9.892315055
2012,1,14,8,42.90085565
2012,1,14,9,82.45767659
2012,1,14,10,71.51711774
2012,1,14,11,97.13548839
2012,1,14,12,71.95138053
2012,1,14,13,58.98005826
2012,1,14,14,20.28785036
2012,1,14,15,32.13463001
2012,1,14,16,15.5939346
2012,1,14,17,0.297519311
2012,1,14,18,0
2012,1,14,19,0
2012,1,14,20,0
2012,1,14,21,0
2012,1,14,22,0
2012,1,14,23,0
2012,1,15,0,0
2012,1,15,1,0
2012,1,15,2,0
2012,1,15,3,0
2012,1,15,4,0
2012,1,15,5,0
2012,1,15,6,0.004813809
2012,1,15,7,7.342902696
2012,1,15,8,28.95758533
2012,1,15,9,57.58517679
2012,1,15,10,68.1272256
2012,1,15,11,147.6659679
2012,1,15,12,65.98342277
2012,1,15,13,79.10115135
2012,1,15,14,35.55423618
2012,1,15,15,40.61845524
2012,1,15,16,7.59029773
2012,1,15,17,0.024177257
2012,1,15,18,0
2012,1,15,19,0
2012,1,15,20,0
2012,1,15,21,0
2012,1,15,22,0
2012,1,15,23,0
2012,1,16,0,0
2012,1,16,1,0
2012,1,16,2,0
2012,1,16,3,0
2012,1,16,4,0
2012,1,16,5,0
2012,1,16,6,0.048635662
2012,1,16,7,18.03855128
2012,1,16,8,97.63939556
2012,1,16,9,179.3770804
2012,1,16,10,143.0698523
2012,1,16,11,122.1756561
2012,1,16,12,80.43900081
2012,1,16,13,122.175503
2012,1,16,14,46.99387295
2012,1,16,15,52.3512228
2012,1,16,16,14.14349722
2012,1,16,17,0.805488601
2012,1,16,18,0
2012,1,16,19,0
2012,1,16,20,0
2012,1,16,21,0
2012,1,16,22,0
2012,1,16,23,0
2012,1,17,0,0
2012,1,17,1,0
2012,1,17,2,0
2012,1,17,3,0
2012,1,17,4,0
2012,1,17,5,0
2012,1,17,6,0.055662455
2012,1,17,7,19.15341642
2012,1,17,8,210.8644074
2012,1,17,9,115.1265727
2012,1,17,10,257.0247969
2012,1,17,11,258.0885866
2012,1,17,12,246.231671
2012,1,17,13,251.7783633
2012,1,17,14,39.73051652
2012,1,17,15,59.55996204
2012,1,17,16,41.122413
2012,1,17,17,2.114314934
2012,1,17,18,0
2012,1,17,19,0
2012,1,17,20,0
2012,1,17,21,0
2012,1,17,22,0
2012,1,17,23,0
2012,1,18,0,0
2012,1,18,1,0
2012,1,18,2,0
2012,1,18,3,0
2012,1,18,4,0
2012,1,18,5,0
2012,1,18,6,0.020765148
2012,1,18,7,33.12984668
2012,1,18,8,171.7841184
2012,1,18,9,133.3179543
2012,1,18,10,425.3425498
2012,1,18,11,245.7504832
2012,1,18,12,149.7443592
2012,1,18,13,250.295031
2012,1,18,14,181.332111
2012,1,18,15,62.34076146
2012,1,18,16,51.9763729
2012,1,18,17,0.620484955
2012,1,18,18,0
2012,1,18,19,0
2012,1,18,20,0
2012,1,18,21,0
2012,1,18,22,0
2012,1,18,23,0
2012,1,19,0,0
2012,1,19,1,0
2012,1,19,2,0
2012,1,19,3,0
2012,1,19,4,0
2012,1,19,5,0
2012,1,19,6,0.088279458
2012,1,19,7,7.577144203
2012,1,19,8,54.09395675
2012,1,19,9,106.4330861
2012,1,19,10,109.7316905
2012,1,19,11,219.8358891
2012,1,19,12,135.775429
2012,1,19,13,93.08152346
2012,1,19,14,97.85252644
2012,1,19,15,43.19945083
2012,1,19,16,31.03204406
2012,1,19,17,1.081482278
2012,1,19,18,0
2012,1,19,19,0
2012,1,19,20,0
2012,1,19,21,0
2012,1,19,22,0
