year,month,day,hour,temperature
2012,1,8,17,7.595671186
2012,1,8,18,6.403866462
2012,1,8,19,6.788962908
2012,1,8,20,7.067421036
2012,1,8,21,6.90044141
2012,1,8,22,6.544767831
2012,1,8,23,6.521730222
2012,1,9,0,7.654456029
2012,1,9,1,7.421957438
2012,1,9,2,7.240564724
2012,1,9,3,6.918531199
2012,1,9,4,6.75413402
2012,1,9,5,6.517088189
2012,1,9,6,6.184660666
2012,1,9,7,6.248912687
2012,1,9,8,6.728600381
2012,1,9,9,7.438241076
2012,1,9,10,7.812967277
2012,1,9,11,9.626097675
2012,1,9,12,10.39699922
2012,1,9,13,10.12820753
2012,1,9,14,10.92827924
2012,1,9,15,9.740472723
2012,1,9,16,10.15510792
2012,1,9,17,9.153819768
2012,1,9,18,9.199936322
2012,1,9,19,8.722148041
2012,1,9,20,7.665967072
2012,1,9,21,7.37258705
2012,1,9,22,7.706409339
2012,1,9,23,7.553778793
2012,1,10,0,5.614290846
2012,1,10,1,5.457685104
2012,1,10,2,5.269583274
2012,1,10,3,4.952571422
2012,1,10,4,4.980833441
2012,1,10,5,4.741090873
2012,1,10,6,4.382887932
2012,1,10,7,4.61774028
2012,1,10,8,5.025187894
2012,1,10,9,5.338663639
2012,1,10,10,6.199468384
2012,1,10,11,7.306811524
2012,1,10,12,7.351346697
2012,1,10,13,7.783953552
2012,1,10,14,8.227152662
2012,1,10,15,7.787044246
2012,1,10,16,7.8084028
2012,1,10,17,6.8301488
2012,1,10,18,6.689445389
2012,1,10,19,6.278915695
2012,1,10,20,6.960558829
2012,1,10,21,6.090578584
2012,1,10,22,5.312688356
2012,1,10,23,5.898267436
2012,1,11,0,5.897744507
2012,1,11,1,5.695961038
2012,1,11,2,5.528513247
2012,1,11,3,5.318352136
2012,1,11,4,5.216513309
2012,1,11,5,5.069353685
2012,1,11,6,4.625670163
2012,1,11,7,4.63844757
2012,1,11,8,4.982881315
2012,1,11,9,5.713042798
2012,1,11,10,6.338986105
2012,1,11,11,7.279933886
2012,1,11,12,7.472086311
2012,1,11,13,8.014479349
2012,1,11,14,8.49307482
2012,1,11,15,7.445404776
2012,1,11,16,8.19196809
2012,1,11,17,6.979043509
2012,1,11,18,6.892221965
2012,1,11,19,5.980427757
2012,1,11,20,6.801989588
2012,1,11,21,5.464095384
2012,1,11,22,6.803684374
2012,1,11,23,6.287110483
2012,1,12,0,7.952437656
2012,1,12,1,7.68888592
2012,1,12,2,7.438340707
2012,1,12,3,7.25844088
2012,1,12,4,6.940489112
2012,1,12,5,6.65113388
2012,1,12,6,6.313955176
2012,1,12,7,6.677943836
2012,1,12,8,6.964270876
2012,1,12,9,7.679975716
2012,1,12,10,8.622372147
2012,1,12,11,10.13385433
2012,1,12,12,10.9639033
2012,1,12,13,10.76487539
2012,1,12,14,11.02851335
2012,1,12,15,10.20564774
2012,1,12,16,9.83186976
2012,1,12,17,9.410269515
2012,1,12,18,9.931608496
2012,1,12,19,9.111580123
2012,1,12,20,10.47145182
2012,1,12,21,7.466148751
2012,1,12,22,8.388044481
2012,1,12,23,8.483699975
2012,1,13,0,6.459644437
2012,1,13,1,6.248945912
2012,1,13,2,5.998045105
2012,1,13,3,5.883263153
2012,1,13,4,5.618706461
2012,1,13,5,5.397991646
2012,1,13,6,5.341002481
2012,1,13,7,5.102160289
2012,1,13,8,5.29877129
2012,1,13,9,6.308178163
2012,1,13,10,7.311886363
2012,1,13,11,7.782917578
2012,1,13,12,9.132382068
2012,1,13,13,8.739428949
2012,1,13,14,9.229342148
2012,1,13,15,8.723840289
2012,1,13,16,8.428890256
2012,1,13,17,8.412409089
2012,1,13,18,7.741817107
2012,1,13,19,7.222190471
2012,1,13,20,7.144137221
2012,1,13,21,6.462663053
2012,1,13,22,6.17698066
2012,1,13,23,6.46447654
2012,1,14,0,6.618631285
2012,1,14,1,6.454823175
2012,1,14,2,6.192764307
2012,1,14,3,6.082081759
2012,1,14,4,5.820376834
2012,1,14,5,5.76255963
2012,1,14,6,5.870599263
2012,1,14,7,5.229923003
2012,1,14,8,5.172096362
2012,1,14,9,6.566605805
2012,1,14,10,7.141140827
2012,1,14,11,8.471602752
2012,1,14,12,9.055241734
2012,1,14,13,9.042413221
2012,1,14,14,8.595461977
2012,1,14,15,8.575307748
2012,1,14,16,8.067694059
2012,1,14,17,7.497182137
2012,1,14,18,8.044332767
2012,1,14,19,7.575578741
2012,1,14,20,6.631267829
2012,1,14,21,7.343563205
2012,1,14,22,7.113883768
2012,1,14,23,6.355108206
2012,1,15,0,3.492576665
2012,1,15,1,3.38182461
2012,1,15,2,3.326457416
2012,1,15,3,3.144544877
2012,1,15,4,3.128792791
2012,1,15,5,3.074153736
2012,1,15,6,2.865585983
2012,1,15,7,2.846095969
2012,1,15,8,3.034405898
2012,1,15,9,3.36500718
2012,1,15,10,3.806799981
2012,1,15,11,4.209990847
2012,1,15,12,4.522680493
2012,1,15,13,4.761591491
2012,1,15,14,4.804775113
2012,1,15,15,4.566364261
2012,1,15,16,4.342695323
2012,1,15,17,4.807147277
2012,1,15,18,4.211257467
2012,1,15,19,3.775716299
2012,1,15,20,3.724144418
