year,month,day,hour,PAR
2012,1,9,22,0
2012,1,9,23,0
2012,1,10,0,0
2012,1,10,1,0
2012,1,10,2,0
2012,1,10,3,0
2012,1,10,4,0
2012,1,10,5,0
2012,1,10,6,0.036249565
2012,1,10,7,16.50561151
2012,1,10,8,152.7765983
2012,1,10,9,247.0022704
2012,1,10,10,225.9800302
2012,1,10,11,345.3551213
2012,1,10,12,205.6456514
2012,1,10,13,141.9162828
2012,1,10,14,98.75993017
2012,1,10,15,88.11792584
2012,1,10,16,44.6791367
2012,1,10,17,1.887529173
2012,1,10,18,0
2012,1,10,19,0
2012,1,10,20,0
2012,1,10,21,0
2012,1,10,22,0
2012,1,10,23,0
2012,1,11,0,0
2012,1,11,1,0
2012,1,11,2,0
2012,1,11,3,0
2012,1,11,4,0
2012,1,11,5,0
2012,1,11,6,0.012800261
2012,1,11,7,12.82037236
2012,1,11,8,78.59929526
2012,1,11,9,177.2180105
2012,1,11,10,168.7070206
2012,1,11,11,223.5003282
2012,1,11,12,126.3170138
2012,1,11,13,140.4140247
2012,1,11,14,94.33739359
2012,1,11,15,130.1274372
2012,1,11,16,14.69137371
2012,1,11,17,0.86946788
2012,1,11,18,0
2012,1,11,19,0
2012,1,11,20,0
2012,1,11,21,0
2012,1,11,22,0
2012,1,11,23,0
2012,1,12,0,0
2012,1,12,1,0
2012,1,12,2,0
2012,1,12,3,0
2012,1,12,4,0
2012,1,12,5,0
2012,1,12,6,0.000629564
2012,1,12,7,5.793557081
2012,1,12,8,35.07193823
2012,1,12,9,115.6305252
2012,1,12,10,117.4137466
2012,1,12,11,160.0785313
2012,1,12,12,102.4027643
2012,1,12,13,98.84635906
2012,1,12,14,53.29218309
2012,1,12,15,57.17969338
2012,1,12,16,20.59173546
2012,1,12,17,1.263437767
2012,1,12,18,0
2012,1,12,19,0
2012,1,12,20,0
2012,1,12,21,0
2012,1,12,22,0
2012,1,12,23,0
2012,1,13,0,0
2012,1,13,1,0
2012,1,13,2,0
2012,1,13,3,0
2012,1,13,4,0
2012,1,13,5,0
2012,1,13,6,0.066626352
2012,1,13,7,26.24245321
2012,1,13,8,42.93665913
2012,1,13,9,135.6429814
2012,1,13,10,389.7168964
2012,1,13,11,365.4319667
2012,1,13,12,302.0722862
2012,1,13,13,132.4129513
2012,1,13,14,184.4618486
2012,1,13,15,163.8263424
2012,1,13,16,76.43605316
2012,1,13,17,2.387639458
2012,1,13,18,0
2012,1,13,19,0
2012,1,13,20,0
2012,1,13,21,0
2012,1,13,22,0
2012,1,13,23,0
2012,1,14,0,0
2012,1,14,1,0
2012,1,14,2,0
2012,1,14,3,0
2012,1,14,4,0
2012,1,14,5,0
2012,1,14,6,0.003424388
2012,1,14,7,11.27006448
2012,1,14,8,62.03881364
2012,1,14,9,114.2615115
2012,1,14,10,136.2301804
2012,1,14,11,120.2685986
2012,1,14,12,108.6067722
2012,1,14,13,120.7985554
2012,1,14,14,52.25191816
2012,1,14,15,36.94540748
2012,1,14,16,7.747073515
2012,1,14,17,1.047471582
2012,1,14,18,0
2012,1,14,19,0
2012,1,14,20,0
2012,1,14,21,0
2012,1,14,22,0
2012,1,14,23,0
2012,1,15,0,0
2012,1,15,1,0
2012,1,15,2,0
2012,1,15,3,0
2012,1,15,4,0
2012,1,15,5,0
2012,1,15,6,0.03250884
2012,1,15,7,14.12476555
2012,1,15,8,43.51613688
2012,1,15,9,62.66130857
2012,1,15,10,166.9485125
2012,1,15,11,143.9729831
2012,1,15,12,210.6245951
2012,1,15,13,138.9386392
2012,1,15,14,73.74600013
2012,1,15,15,45.14325373
2012,1,15,16,7.59266652
2012,1,15,17,1.408069025
2012,1,15,18,0
2012,1,15,19,0
2012,1,15,20,0
2012,1,15,21,0
2012,1,15,22,0
2012,1,15,23,0
2012,1,16,0,0
2012,1,16,1,0
2012,1,16,2,0
2012,1,16,3,0
2012,1,16,4,0
2012,1,16,5,0
2012,1,16,6,0.072404215
2012,1,16,7,19.8414685
2012,1,16,8,189.9193816
2012,1,16,9,384.7889109
2012,1,16,10,339.3327646
2012,1,16,11,415.9312442
2012,1,16,12,290.3675278
2012,1,16,13,344.1391972
2012,1,16,14,207.9935223
2012,1,16,15,61.24927651
2012,1,16,16,49.45896115
2012,1,16,17,1.358917242
2012,1,16,18,0
2012,1,16,19,0
2012,1,16,20,0
2012,1,16,21,0
2012,1,16,22,0
2012,1,16,23,0
2012,1,17,0,0
2012,1,17,1,0
2012,1,17,2,0
2012,1,17,3,0
2012,1,17,4,0
2012,1,17,5,0
2012,1,17,6,0.093617245
2012,1,17,7,32.24016968
2012,1,17,8,133.0010329
2012,1,17,9,194.8894745
2012,1,17,10,258.1769769
2012,1,17,11,250.4408164
2012,1,17,12,238.6983034
2012,1,17,13,174.310138
2012,1,17,14,191.1079077
2012,1,17,15,170.6590456
2012,1,17,16,37.75000617
2012,1,17,17,2.333719805
2012,1,17,18,0
2012,1,17,19,0
2012,1,17,20,0
2012,1,17,21,0
2012,1,17,22,0
2012,1,17,23,0
2012,1,18,0,0
2012,1,18,1,0
2012,1,18,2,0
2012,1,18,3,0
2012,1,18,4,0
2012,1,18,5,0
2012,1,18,6,0.125711285
2012,1,18,7,27.7928453
2012,1,18,8,237.577732
2012,1,18,9,456.6225362
2012,1,18,10,446.3070961
2012,1,18,11,474.8277034
2012,1,18,12,435.8048518
2012,1,18,13,235.3142372
2012,1,18,14,470.7152591
2012,1,18,15,113.1152861
2012,1,18,16,53.66610358
2012,1,18,17,0.882779327
2012,1,18,18,0
2012,1,18,19,0
2012,1,18,20,0
2012,1,18,21,0
2012,1,18,22,0
2012,1,18,23,0
2012,1,19,0,0
2012,1,19,1,0
2012,1,19,2,0
2012,1,19,3,0
2012,1,19,4,0
2012,1,19,5,0
2012,1,19,6,0.044158803
2012,1,19,7,15.0136188
2012,1,19,8,64.96334882
2012,1,19,9,196.2949612
2012,1,19,10,247.6540491
2012,1,19,11,222.5671212
2012,1,19,12,236.9890127
2012,1,19,13,130.6437937
2012,1,19,14,136.3253283
2012,1,19,15,59.00294951
2012,1,19,16,31.03643085
2012,1,19,17,1.49045035
2012,1,19,18,0
2012,1,19,19,0
2012,1,19,20,0
2012,1,19,21,0
2012,1,19,22,0
