wselev,depth,crossarea,wettedperimeter,surfacewidth,manningN,meanslope,velocity,discharge,volume,mvelocity,RTvar,RTmean,hR,island,wettedBperimeter,bank
0.31,0.283074922,0.861961645,3.297918489,3.044,0.029228301,0.01158892,1.505624212,1.297790323,8.619616449,1.505553481,3093.776412,13.23910604,0.261365357,1,3.297918489,0
0.32,0.291944749,0.892474389,3.322600011,3.056,0.029228301,0.01158892,1.533309081,1.368439085,8.924743893,1.533251437,2922.557571,12.97427099,0.268607231,1,3.322600011,0
0.33,0.300782962,0.92310215,3.345835798,3.068,0.029228301,0.01158892,1.560922474,1.440890892,9.231021501,1.560848078,2854.6492,12.76359869,0.275895832,1,3.345835798,0
0.34,0.309392909,0.953858112,3.371132673,3.082,0.029228301,0.01158892,1.587412745,1.514166524,9.53858112,1.587326089,2757.350438,12.54852892,0.28294885,1,3.371132673,0
0.35,0.317969546,0.984751356,3.395379128,3.096,0.029228301,0.01158892,1.613776733,1.589168826,9.847513559,1.613649217,2662.709469,12.3439995,0.290026922,1,3.395379128,0
0.36,0.32651589,1.015789948,3.418727008,3.11,0.029228301,0.01158892,1.640001454,1.665896992,10.15789948,1.639908062,2495.898497,12.1026215,0.297125201,1,3.418727008,0
0.37,0.334820964,1.046984264,3.444488159,3.126,0.029228301,0.01158892,1.665053579,1.743284895,10.46984264,1.664941557,2423.53785,11.92680682,0.303959316,1,3.444488159,0
0.38,0.342875261,1.078342572,3.472554144,3.144,0.029228301,0.01158892,1.688974364,1.821292959,10.78342572,1.688839436,2372.352779,11.76717779,0.310532976,1,3.472554144,0
0.39,0.351114235,1.109871095,3.496821517,3.16,0.029228301,0.01158892,1.713762456,1.902055414,11.09871095,1.713595467,2363.17539,11.62552435,0.317394265,1,3.496821517,0
0.4,0.358875001,1.141581277,3.52641123,3.18,0.029228301,0.01158892,1.73646951,1.982321081,11.41581277,1.736262151,2307.616606,11.47262253,0.323723242,1,3.52641123,0
0.41,0.366826701,1.17347792,3.552443173,3.198,0.029228301,0.01158892,1.760015245,2.06533903,11.7347792,1.759796723,2223.787475,11.30564758,0.330329822,1,3.552443173,0
0.42,0.374517349,1.205570701,3.580802162,3.218,0.029228301,0.01158892,1.782486077,2.14891299,12.05570701,1.782304704,2107.959504,11.12878658,0.336676154,1,3.580802162,0
0.43,0.381939875,1.237867129,3.611406902,3.24,0.029228301,0.01158892,1.803916007,2.233008328,12.37867129,1.803722185,2037.943268,10.98781487,0.342765898,1,3.611406902,0
0.44,0.389565814,1.270373446,3.638765132,3.26,0.029228301,0.01158892,1.826148803,2.319890948,12.70373446,1.825885708,2043.80658,10.89263672,0.349122134,1,3.638765132,0
0.45,0.396923272,1.303098366,3.668413927,3.282,0.029228301,0.01158892,1.847355532,2.407285975,13.03098366,1.847055397,1988.740669,10.76516695,0.355221192,1,3.668413927,0
0.46,0.404006568,1.336049474,3.70029094,3.306,0.029228301,0.01158892,1.867564828,2.495159006,13.36049474,1.867227495,1997.334209,10.6683992,0.361066061,1,3.70029094,0
0.47,0.411057621,1.369232849,3.731738985,3.33,0.029228301,0.01158892,1.887681014,2.584674852,13.69232849,1.887343932,1931.488386,10.5429602,0.366915493,1,3.731738985,0
0.48,0.418079345,1.402655981,3.762807354,3.354,0.029228301,0.01158892,1.907702711,2.675850619,14.02655981,1.907352726,1932.209732,10.44641513,0.372768481,1,3.762807354,0
0.49,0.425074363,1.436325645,3.793536839,3.378,0.029228301,0.01158892,1.927629868,2.768704215,14.36325645,1.927287587,1810.605383,10.29635418,0.37862441,1,3.793536839,0
0.5,0.431791573,1.470249797,3.826484203,3.404,0.029228301,0.01158892,1.946608923,2.862001374,14.70249797,1.946176794,1816.423134,10.2267068,0.38422994,1,3.826484203,0
0.51,0.438482951,1.504434351,3.85911046,3.43,0.029228301,0.01158892,1.965510019,2.95698079,15.04434351,1.965063968,1790.491399,10.1263437,0.389839671,1,3.85911046,0
0.52,0.444893765,1.538887224,3.893922666,3.458,0.029228301,0.01158892,1.98349399,3.05237356,15.38887224,1.983020567,1785.435161,10.04911366,0.395202308,1,3.893922666,0
0.53,0.451280295,1.573614163,3.928431016,3.486,0.029228301,0.01158892,2.0014158,3.14945625,15.73614163,2.000936237,1700.222277,9.9348349,0.400570649,1,3.928431016,0
0.54,0.457645087,1.608622102,3.962663405,3.514,0.029228301,0.01158892,2.019276569,3.248252919,16.08622102,2.018766378,1710.931461,9.86253582,0.405944673,1,3.962663405,0
0.55,0.463728732,1.643918281,3.9990619,3.544,0.029228301,0.01158892,2.036257233,3.347440489,16.43918281,2.035680699,1680.742078,9.784461559,0.411075978,1,3.9990619,0
0.56,0.469792686,1.679508851,4.035196498,3.574,0.029228301,0.01158892,2.053192395,3.4483548,16.79508851,2.052609296,1603.566512,9.678813347,0.416214886,1,4.035196498,0
0.57,0.475839323,1.71540061,4.071089167,3.604,0.029228301,0.01158892,2.070083536,3.551022559,17.1540061,2.069447354,1637.201309,9.633265675,0.421361591,1,4.071089167,0
0.58,0.481870811,1.751599898,4.106759039,3.634,0.029228301,0.01158892,2.086932331,3.655470458,17.51599898,2.086293562,1590.521982,9.54123539,0.426516355,1,4.106759039,0
0.59,0.487623273,1.788114122,4.144580182,3.666,0.029228301,0.01158892,2.102943957,3.760303787,17.88114122,2.102276109,1561.039019,9.467301722,0.431434317,1,4.144580182,0
0.6,0.493362974,1.824949093,4.182184761,3.698,0.029228301,0.01158892,2.118928327,3.866936328,18.24949093,2.11820736,1560.851769,9.407126739,0.436362618,1,4.182184761,0
