year,month,day,hour,temperature
2012,1,8,17,9.373611221
2012,1,8,18,8.943450553
2012,1,8,19,9.164288208
2012,1,8,20,8.741875461
2012,1,8,21,8.558498233
2012,1,8,22,7.949442019
2012,1,8,23,7.699564235
2012,1,9,0,10.03622464
2012,1,9,1,9.815933166
2012,1,9,2,9.528873848
2012,1,9,3,9.380006911
2012,1,9,4,9.242428277
2012,1,9,5,8.911511903
2012,1,9,6,8.692826144
2012,1,9,7,8.994484212
2012,1,9,8,9.145733349
2012,1,9,9,9.643227484
2012,1,9,10,10.24990231
2012,1,9,11,11.54595998
2012,1,9,12,12.42440122
2012,1,9,13,12.29126844
2012,1,9,14,12.04426184
2012,1,9,15,11.64539411
2012,1,9,16,11.54802154
2012,1,9,17,10.89629426
2012,1,9,18,10.91256002
2012,1,9,19,10.4535865
2012,1,9,20,9.540445245
2012,1,9,21,9.34927779
2012,1,9,22,8.829756912
2012,1,9,23,9.371821918
2012,1,10,0,8.470266767
2012,1,10,1,8.178048246
2012,1,10,2,8.090207264
2012,1,10,3,7.881830448
2012,1,10,4,7.6918717
2012,1,10,5,7.529828568
2012,1,10,6,7.355586571
2012,1,10,7,7.458953275
2012,1,10,8,7.616350524
2012,1,10,9,8.114629064
2012,1,10,10,8.642549388
2012,1,10,11,9.049662476
2012,1,10,12,9.9663584
2012,1,10,13,10.47939324
2012,1,10,14,10.09485608
2012,1,10,15,9.687546432
2012,1,10,16,9.156295393
2012,1,10,17,8.950894934
2012,1,10,18,8.714132473
2012,1,10,19,8.060299452
2012,1,10,20,8.192091707
2012,1,10,21,7.927308275
2012,1,10,22,7.782042583
2012,1,10,23,7.493994521
2012,1,11,0,8.90512112
2012,1,11,1,8.636025779
2012,1,11,2,8.504966363
2012,1,11,3,8.205105046
2012,1,11,4,8.365214048
2012,1,11,5,7.834709722
2012,1,11,6,7.819288987
2012,1,11,7,8.118175489
2012,1,11,8,8.043375569
2012,1,11,9,8.226883821
2012,1,11,10,9.294098411
2012,1,11,11,10.06655431
2012,1,11,12,10.65832121
2012,1,11,13,11.16274404
2012,1,11,14,10.53383089
2012,1,11,15,10.40265676
2012,1,11,16,10.2209607
2012,1,11,17,9.600173128
2012,1,11,18,9.052070635
2012,1,11,19,9.089041992
2012,1,11,20,8.728281717
2012,1,11,21,8.409746716
2012,1,11,22,8.516715869
2012,1,11,23,8.192226176
2012,1,12,0,10.18601304
2012,1,12,1,9.960612501
2012,1,12,2,9.752801355
2012,1,12,3,9.507230176
2012,1,12,4,9.420224815
2012,1,12,5,9.255814026
2012,1,12,6,8.938639141
2012,1,12,7,9.039625791
2012,1,12,8,9.249009708
2012,1,12,9,9.797438126
2012,1,12,10,10.6245839
2012,1,12,11,11.39591852
2012,1,12,12,12.185181
2012,1,12,13,12.32653648
2012,1,12,14,11.99069791
2012,1,12,15,11.3739822
2012,1,12,16,11.89091427
2012,1,12,17,11.21431389
2012,1,12,18,10.62313917
2012,1,12,19,10.24573757
2012,1,12,20,10.05828519
