day,month,year,po4_ugPpl
2,8,2012,10.3866718
3,8,2012,10.4871634
4,8,2012,10.6146413
5,8,2012,20.9837231
6,8,2012,10.5333923
7,8,2012,10.6155674
8,8,2012,10.6737014
9,8,2012,10.6260415
10,8,2012,20.7831997
11,8,2012,12.4068326
12,8,2012,10.4799145
13,8,2012,10.4768794
14,8,2012,27.144149
15,8,2012,13.2134571
16,8,2012,12.3682977
17,8,2012,14.2071183
18,8,2012,12.4905489
19,8,2012,11.8653125
20,8,2012,15.0912782
21,8,2012,11.7153368
22,8,2012,11.5132482
23,8,2012,11.576653
24,8,2012,11.0836696
25,8,2012,11.0895412
26,8,2012,36.2231718
27,8,2012,18.5591287
28,8,2012,17.3806804
29,8,2012,15.7257437
30,8,2012,14.4313462
31,8,2012,13.6083123
1,9,2012,18.1713556
2,9,2012,13.7840948
3,9,2012,18.9532335
4,9,2012,13.7104305
5,9,2012,13.3716163
6,9,2012,13.6041479
7,9,2012,13.2181591
8,9,2012,20.0962169
9,9,2012,13.4153372
10,9,2012,12.6431547
11,9,2012,12.0920849
12,9,2012,11.9075681
13,9,2012,11.4366362
14,9,2012,11.2294378
15,9,2012,11.1024299
16,9,2012,11.06216
17,9,2012,10.9815798
18,9,2012,26.0133838
19,9,2012,11.6644554
20,9,2012,11.1348091
21,9,2012,10.8215323
22,9,2012,10.7719438
23,9,2012,10.4864938
24,9,2012,10.5984456
25,9,2012,10.3697966
26,9,2012,10.4296581
27,9,2012,15.022359
28,9,2012,10.4764395
29,9,2012,10.3152252
30,9,2012,10.5896504
1,10,2012,10.3124638
2,10,2012,29.3569621
3,10,2012,22.386203
4,10,2012,13.1263223
5,10,2012,12.2161448
6,10,2012,11.3348879
7,10,2012,11.9710333
8,10,2012,11.1476876
9,10,2012,10.8766791
10,10,2012,10.7063216
11,10,2012,10.9515343
12,10,2012,10.4675514
13,10,2012,10.4772393
14,10,2012,10.4091093
15,10,2012,17.2638874
16,10,2012,10.6141246
17,10,2012,10.3226355
18,10,2012,15.0653517
19,10,2012,26.21469
20,10,2012,13.5362124
21,10,2012,12.7588275
22,10,2012,12.0914532
23,10,2012,11.13362
24,10,2012,10.9983527
25,10,2012,10.8254251
26,10,2012,10.5843045
27,10,2012,10.7724104
28,10,2012,12.0756813
29,10,2012,36.0100443
30,10,2012,24.4955427
31,10,2012,20.228211
1,11,2012,19.5559274
2,11,2012,18.1785256
3,11,2012,17.6352556
4,11,2012,16.8575954
5,11,2012,16.3516412
6,11,2012,15.9936015
7,11,2012,15.931864
8,11,2012,15.5984349
9,11,2012,15.7020268
10,11,2012,16.7155384
11,11,2012,16.7139055
12,11,2012,15.8113055
13,11,2012,17.6247031
14,11,2012,13.6948637
15,11,2012,12.5198404
16,11,2012,11.9959528
17,11,2012,11.7022345
18,11,2012,11.1515684
19,11,2012,10.886411
20,11,2012,10.5851299
21,11,2012,10.477076
22,11,2012,10.2274447
23,11,2012,10.007976
24,11,2012,9.94890272
25,11,2012,9.75225164
26,11,2012,9.71996913
27,11,2012,10.8940346
28,11,2012,9.40544965
29,11,2012,9.27600974
30,11,2012,9.12706815
1,12,2012,9.02942214
2,12,2012,8.87177732
3,12,2012,8.694
4,12,2012,8.7761043
5,12,2012,8.54678254
6,12,2012,8.50878384
7,12,2012,8.59514844
8,12,2012,8.44018279
9,12,2012,10.9769548
10,12,2012,8.50596926
11,12,2012,8.36108504
12,12,2012,8.25086814
13,12,2012,8.19104042
14,12,2012,8.03727137
15,12,2012,8.03439012
16,12,2012,8.09686943
17,12,2012,8.09546406
18,12,2012,7.96645919
19,12,2012,7.93464101
20,12,2012,11.3173965
21,12,2012,11.7194215
22,12,2012,8.5460565
23,12,2012,8.20182593
24,12,2012,7.97297818
25,12,2012,9.02877714
26,12,2012,11.2283922
27,12,2012,9.5775508
28,12,2012,8.55960208
29,12,2012,8.19674374
30,12,2012,7.93414951
31,12,2012,7.77573313
1,1,2013,7.72950003
2,1,2013,7.67530696
3,1,2013,7.65446374
4,1,2013,7.51642641
5,1,2013,7.4683369
6,1,2013,7.37091427
7,1,2013,7.38443659
8,1,2013,7.27180276
9,1,2013,7.12105667
10,1,2013,7.13448161
11,1,2013,7.70025435
12,1,2013,7.17131844
13,1,2013,7.21531369
14,1,2013,7.65321142
15,1,2013,8.98100848
16,1,2013,9.32479957
17,1,2013,7.58802538
18,1,2013,7.30491365
19,1,2013,7.22262492
20,1,2013,7.08642155
21,1,2013,7.03396301
22,1,2013,7.01251379
23,1,2013,6.99460599
24,1,2013,6.90766854
25,1,2013,6.86775057
26,1,2013,6.88236857
27,1,2013,6.8745097
28,1,2013,7.02149431
29,1,2013,6.8144683
30,1,2013,9.27643604
31,1,2013,8.72664967
1,2,2013,7.86697771
2,2,2013,7.53258915
3,2,2013,7.28844282
4,2,2013,7.18309368
5,2,2013,7.21132817
6,2,2013,7.14530854
7,2,2013,7.07121925
8,2,2013,7.16247937
9,2,2013,6.98659759
10,2,2013,6.95141652
11,2,2013,7.52643715
12,2,2013,7.06244006
13,2,2013,6.94645854
14,2,2013,7.10551249
15,2,2013,6.99934736
16,2,2013,6.97536367
17,2,2013,6.84308042
18,2,2013,6.85128516
19,2,2013,6.968554
20,2,2013,6.87767352
21,2,2013,6.86056917
22,2,2013,6.8344993
23,2,2013,6.88060145
24,2,2013,6.79653004
25,2,2013,6.88080474
26,2,2013,7.0770329
27,2,2013,6.85575556
28,2,2013,6.85502206
1,3,2013,6.95836875
2,3,2013,6.90779171
3,3,2013,6.904634
4,3,2013,7.01336727
5,3,2013,7.00152899
6,3,2013,7.50070807
7,3,2013,6.87036493
8,3,2013,7.07673654
9,3,2013,6.99375145
10,3,2013,7.07931872
11,3,2013,7.06531564
12,3,2013,7.30162263
13,3,2013,6.92835986
14,3,2013,7.06639703
15,3,2013,7.01643674
16,3,2013,7.13289961
17,3,2013,7.13938109
18,3,2013,6.99799572
19,3,2013,7.18748621
20,3,2013,7.21363152
21,3,2013,7.15090683
22,3,2013,7.31194517
23,3,2013,7.35508013
24,3,2013,7.38295443
25,3,2013,7.40937118
26,3,2013,7.40761326
27,3,2013,7.46932258
28,3,2013,7.43969174
29,3,2013,7.4697427
30,3,2013,7.48005374
31,3,2013,7.57011719
1,4,2013,7.58136333
2,4,2013,7.64478788
3,4,2013,7.65504241
4,4,2013,7.62696354
5,4,2013,7.58990312
6,4,2013,7.57457179
7,4,2013,7.66955116
8,4,2013,7.81848566
9,4,2013,7.81671222
10,4,2013,7.8796756
11,4,2013,7.9510151
12,4,2013,7.631147
13,4,2013,8.02787127
14,4,2013,7.94830843
15,4,2013,8.0149543
16,4,2013,7.96670133
17,4,2013,8.11444069
18,4,2013,8.25886236
19,4,2013,7.9446005
20,4,2013,8.34942945
21,4,2013,8.41687685
22,4,2013,8.4158832
23,4,2013,8.4508715
24,4,2013,8.36785588
25,4,2013,8.49732084
26,4,2013,8.48621845
27,4,2013,8.75100985
28,4,2013,8.6085002
29,4,2013,8.7005081
30,4,2013,8.84917447
1,5,2013,8.77895249
2,5,2013,8.77877613
3,5,2013,8.84316443
4,5,2013,8.98390247
5,5,2013,8.891385
6,5,2013,9.07094143
7,5,2013,8.92799867
8,5,2013,8.99229022
9,5,2013,9.06332308
10,5,2013,9.03411792
11,5,2013,9.49110234
12,5,2013,9.29943452
13,5,2013,9.3581149
14,5,2013,9.42898576
15,5,2013,9.39711394
16,5,2013,9.50002906
17,5,2013,9.30567259
18,5,2013,9.4080955
19,5,2013,9.47334308
20,5,2013,9.53292499
21,5,2013,9.80912567
22,5,2013,9.78568885
23,5,2013,10.9769586
24,5,2013,10.0962839
25,5,2013,10.0804813
26,5,2013,9.97327216
27,5,2013,9.806491
28,5,2013,9.96576951
29,5,2013,10.1808854
30,5,2013,10.1573131
31,5,2013,10.2322336
1,6,2013,10.1380701
2,6,2013,11.0645733
3,6,2013,11.3632362
4,6,2013,10.5623019
5,6,2013,10.5007447
6,6,2013,11.7545718
7,6,2013,13.849515
8,6,2013,11.2786977
9,6,2013,10.9667119
10,6,2013,16.3210089
11,6,2013,12.1752825
12,6,2013,11.8477051
13,6,2013,12.4729588
14,6,2013,11.8992345
15,6,2013,11.635613
16,6,2013,11.9221491
17,6,2013,11.6635015
18,6,2013,11.998248
19,6,2013,12.2007369
20,6,2013,11.8688002
21,6,2013,11.9487073
22,6,2013,11.9470587
23,6,2013,12.0199793
24,6,2013,11.8921984
25,6,2013,13.4468306
26,6,2013,12.2503124
27,6,2013,14.9719024
28,6,2013,12.0910531
29,6,2013,12.0176105
30,6,2013,15.2214399
1,7,2013,15.2523954
2,7,2013,12.7403367
3,7,2013,13.6994019
4,7,2013,12.4110468
5,7,2013,12.4576915
6,7,2013,12.1669803
7,7,2013,12.2479857
8,7,2013,12.2078629
9,7,2013,12.4306933
10,7,2013,12.5832633
11,7,2013,12.404635
12,7,2013,17.3687609
13,7,2013,13.4293287
14,7,2013,12.7193734
15,7,2013,12.631322
16,7,2013,12.5663726
17,7,2013,12.3234705
18,7,2013,12.3584776
19,7,2013,12.0625977
20,7,2013,12.4399144
21,7,2013,12.2982148
22,7,2013,17.9519812
23,7,2013,12.7428392
24,7,2013,12.3604026
25,7,2013,12.4811737
26,7,2013,12.2185712
27,7,2013,20.6661792
28,7,2013,13.1003152
29,7,2013,12.7599639
30,7,2013,12.5580393
31,7,2013,12.6999016
1,8,2013,13.8011755
2,8,2013,12.5687065
3,8,2013,12.8545767
4,8,2013,12.7832629
5,8,2013,12.7965435
6,8,2013,12.9515839
7,8,2013,23.8228242
8,8,2013,18.4153436
9,8,2013,18.3091962
10,8,2013,13.585853
11,8,2013,13.2998031
12,8,2013,13.0161382
13,8,2013,15.3616972
14,8,2013,12.8346774
15,8,2013,12.8025657
16,8,2013,12.7412392
17,8,2013,12.753962
18,8,2013,12.8362394
19,8,2013,12.7016434
20,8,2013,12.6720294
21,8,2013,12.7034994
22,8,2013,12.7292691
23,8,2013,12.7558242
24,8,2013,13.0756463
25,8,2013,13.6381703
26,8,2013,15.1209843
27,8,2013,14.4370195
28,8,2013,15.5062872
29,8,2013,15.0762614
30,8,2013,14.8615034
31,8,2013,17.8055407
1,9,2013,19.2031351
2,9,2013,23.3707794
3,9,2013,20.0752293
4,9,2013,23.9928096
5,9,2013,25.6578435
6,9,2013,26.3061155
7,9,2013,26.1594777
8,9,2013,32.2957924
9,9,2013,26.5769779
10,9,2013,33.4110976
11,9,2013,30.5412909
12,9,2013,19.2442881
13,9,2013,20.5949786
14,9,2013,22.6918038
15,9,2013,22.7400321
16,9,2013,28.9748994
17,9,2013,31.8931283
18,9,2013,26.7261866
19,9,2013,35.0603173
20,9,2013,48.4814339
21,9,2013,24.1121255
22,9,2013,19.0466807
23,9,2013,24.1462736
24,9,2013,21.2762357
25,9,2013,143.794516
26,9,2013,32.493026
27,9,2013,32.4283371
28,9,2013,35.1882438
29,9,2013,35.8512497
30,9,2013,35.2252552
1,10,2013,39.7108279
2,10,2013,41.7388222
3,10,2013,44.8172614
4,10,2013,65.2280364
5,10,2013,61.0497441
6,10,2013,50.2911547
7,10,2013,26.6925032
8,10,2013,21.8222036
9,10,2013,22.6386798
10,10,2013,30.4873046
11,10,2013,34.5382711
12,10,2013,19.6482048
13,10,2013,18.6945379
14,10,2013,15.2824847
15,10,2013,14.2293628
16,10,2013,13.5850288
17,10,2013,13.5838156
18,10,2013,13.0677498
19,10,2013,13.6802151
20,10,2013,13.15491
21,10,2013,13.1118387
22,10,2013,13.1676351
23,10,2013,13.3700101
24,10,2013,13.1688105
25,10,2013,12.9051778
26,10,2013,12.1619197
27,10,2013,11.9674354
28,10,2013,11.8001319
29,10,2013,11.5509759
30,10,2013,11.7747833
31,10,2013,11.6684574
1,11,2013,17.5407312
2,11,2013,11.6175498
3,11,2013,11.6673003
4,11,2013,11.4726865
5,11,2013,11.5795646
6,11,2013,11.6502975
7,11,2013,11.3071748
8,11,2013,11.8479288
9,11,2013,11.5221835
10,11,2013,11.7489503
11,11,2013,11.8629995
12,11,2013,11.8204457
13,11,2013,11.7122147
14,11,2013,11.8764015
15,11,2013,11.7598082
16,11,2013,11.057438
17,11,2013,11.9263509
18,11,2013,10.9699581
19,11,2013,11.8792186
20,11,2013,12.2525882
21,11,2013,12.3526348
22,11,2013,12.4692695
23,11,2013,12.8761076
24,11,2013,12.5428922
25,11,2013,13.1947345
26,11,2013,17.2495344
27,11,2013,16.9866185
28,11,2013,10.8761413
29,11,2013,10.7073447
30,11,2013,10.4029454
1,12,2013,10.334159
2,12,2013,10.4002102
3,12,2013,10.1803785
4,12,2013,10.1163619
5,12,2013,10.108755
6,12,2013,15.2918281
7,12,2013,11.449601
8,12,2013,10.428302
9,12,2013,10.3317176
10,12,2013,10.2075222
11,12,2013,9.98033634
12,12,2013,9.84763302
13,12,2013,9.82374769
14,12,2013,9.77712485
15,12,2013,9.65982858
16,12,2013,9.48048875
17,12,2013,9.50591105
18,12,2013,9.46310583
19,12,2013,9.41527506
20,12,2013,9.53518383
21,12,2013,9.27326962
22,12,2013,9.22461656
23,12,2013,12.6211325
24,12,2013,9.34965517
25,12,2013,9.22703809
26,12,2013,9.17718023
27,12,2013,9.00349958
28,12,2013,8.96853224
29,12,2013,12.0255968
30,12,2013,9.48187401
31,12,2013,9.19087001
1,1,2014,9.00273194
2,1,2014,9.00177413
3,1,2014,8.80315776
4,1,2014,8.76125618
5,1,2014,8.67098018
6,1,2014,8.7225114
7,1,2014,8.57718835
8,1,2014,8.58995212
9,1,2014,8.49139676
10,1,2014,9.02974391
11,1,2014,10.838696
12,1,2014,9.04380102
13,1,2014,8.6851386
14,1,2014,9.80122627
15,1,2014,8.58473023
16,1,2014,8.48761208
17,1,2014,8.41956764
18,1,2014,8.40513462
19,1,2014,8.35675716
20,1,2014,8.32351784
21,1,2014,8.17504359
22,1,2014,8.3113651
23,1,2014,8.11456042
24,1,2014,8.1483322
25,1,2014,8.07678326
26,1,2014,8.05428463
27,1,2014,8.05565829
28,1,2014,8.0882214
29,1,2014,8.06436838
30,1,2014,8.0196155
31,1,2014,8.11799794
1,2,2014,8.02025266
2,2,2014,8.30396001
3,2,2014,9.04608404
4,2,2014,7.93873729
5,2,2014,7.93837849
6,2,2014,7.95585768
7,2,2014,7.93196187
8,2,2014,7.94432823
9,2,2014,7.92821667
10,2,2014,7.98516989
11,2,2014,7.98144999
12,2,2014,7.89776922
13,2,2014,8.08285603
14,2,2014,7.89172929
15,2,2014,8.0687281
16,2,2014,7.95225218
17,2,2014,8.13001534
18,2,2014,8.08644569
19,2,2014,7.91120895
20,2,2014,8.10489166
21,2,2014,7.85399068
22,2,2014,7.93192392
23,2,2014,8.05143051
24,2,2014,8.25183037
25,2,2014,8.20875281
26,2,2014,8.31556265
27,2,2014,8.40431356
28,2,2014,8.57473614
1,3,2014,8.71385364
2,3,2014,8.88150182
3,3,2014,8.89166123
4,3,2014,9.10759625
5,3,2014,8.87112395
6,3,2014,8.84168092
7,3,2014,9.22136862
8,3,2014,9.17589362
9,3,2014,9.33383339
10,3,2014,9.28528982
11,3,2014,9.51446466
12,3,2014,7.8794523
13,3,2014,8.6854391
14,3,2014,9.20781408
15,3,2014,9.16904984
16,3,2014,9.56498582
17,3,2014,9.52627475
18,3,2014,9.60542692
