"wselev","depth","crossarea","wettedperimeter","surfacewidth","manningN","meanslope","velocity","discharge","volume","mvelocity","RTvar","RTmean","hR","island","wettedBperimeter","bank"
0,0,0,0.66158988041494,0,NA,NA,0,0,0,0,19360198869.4294,44010.7989003075,0,0,0.66158988041494,0
0.01,0.00916995668930464,0.00606103036427486,0.66158988041494,0.66,12,0.01158892,0.000392776329275516,2.38062925810732e-06,0.0606103036427486,0.000395902150990485,19360198869.4294,44010.7989003075,0.00916131056973462,1,0.66158988041494,0
0.02,0.0182855699261566,0.0129276573827339,0.711914699883505,0.706,12,0.01158892,0.000619776090929495,8.01225295754663e-06,0.129276573827339,0.000623961855047573,14383929876.9086,29699.6627767317,0.0181589976788642,1,0.711914699883505,0
0.03,0.0274077655423187,0.0201443345286136,0.746209741052244,0.734,12,0.01158892,0.00080729992167139,1.62625196870721e-05,0.201443345286136,0.000812255397956672,8984866943.26161,23262.3899501133,0.0269955394849279,1,0.746209741052244,0
0.04,0.0365588192439897,0.0276009914296117,0.773751877905198,0.754,12,0.01158892,0.000972125228031353,2.68316200874026e-05,0.276009914296117,0.000977527986068818,8641619002.62099,20179.8162260511,0.0356716309423851,1,0.773751877905198,0
0.05,0.0455953870437362,0.035244964258377,0.801646786583741,0.772,8.28215737507182,0.01158892,0.00161915098917432,5.70669187423648e-05,0.35244964258377,0.00162738259346017,3208383965.58291,12260.4413269895,0.0439657026613619,1,0.801646786583741,0
0.06,0.0546903345507942,0.0430409623033474,0.825965425612952,0.786,4.48060732691177,0.01158892,0.00335195361808573,0.000144271309318597,0.430409623033474,0.00336794316348826,885839989.379063,6099.08782865412,0.0521098837416912,1,0.825965425612952,0
0.07,0.0637893176561419,0.0509671688380408,0.849010046752199,0.798,2.42332634534082,0.01158892,0.00681074623225969,0.00034712445313263,0.509671688380408,0.00684237877447443,207022042.332794,3002.22772875585,0.060031290598987,1,0.849010046752199,0
0.08,0.0729395495631592,0.0590068189302855,0.869987476786665,0.808,1.3061212753576,0.01158892,0.0137076849057732,0.000808846881188366,0.590068189302855,0.0137686496623404,51696743.2075272,1500.59003159592,0.0678249061104071,1,0.869987476786665,0
0.09,0.0819904063151763,0.0671491347178291,0.892831597997328,0.818,0.708712907962997,0.01158892,0.0270643988834487,0.00181735096668176,0.671491347178291,0.0271765652279411,14580818.5258759,775.10530979987,0.0752091826369591,1,0.892831597997328,0
0.1,0.0911528701285943,0.0753814678389064,0.912625692597644,0.826,0.381665681734971,0.01158892,0.0534957939099616,0.00403259146814054,0.753814678389064,0.0537137166053223,2936784.19199313,380.745287908066,0.0825984502193282,1,0.912625692597644,0
0.11,0.100240134420886,0.0836983601458511,0.933802836251851,0.834,0.20658648664546,0.01158892,0.104366410354213,0.00873529740095658,0.836983601458511,0.104784367436178,864301.518566767,197.031995658951,0.0896317262022936,1,0.933802836251851,0
0.12,0.109247373206474,0.0920939114313388,0.956327666556978,0.842,0.112426402007544,0.01158892,0.201172819526777,0.0185267918238917,0.920939114313388,0.201999297573402,197718.764246613,100.385410124142,0.0962995369180317,1,0.956327666556978,0
0.13,0.118169687446912,0.10056212605751,0.980389659416401,0.85,0.0615355426672215,0.01158892,0.383341581838797,0.0385496444759584,1.0056212605751,0.384899683807313,53101.9093246833,52.5486815680395,0.10257362987424,1,0.980389659416401,0
0.14,0.127301537619199,0.109096383416397,0.999826581827387,0.856,0.0332075530987046,0.01158892,0.740244273889413,0.0807579731260315,1.09096383416397,0.743224384217229,13127.1614837939,27.0327476148203,0.109115305993366,1,0.999826581827387,0
0.15,0.13637758765192,0.117692860228046,1.02077737417852,0.862,0.025501606329999,0.01158892,1,0.117692860228046,1.17692860228046,1.00388135257039,8181.51311048121,20.2258298711457,0.115297285387777,1,1.02077737417852,0
0.16,0.145393621014711,0.126346814494861,1.04311009675216,0.868,0.025501606329999,0.01158892,1.0334196383324,0.130569279339729,1.26346814494861,1.0376526344857,6846.52978549246,19.1265889151897,0.121125099726535,1,1.04311009675216,0
0.17,0.154703255015356,0.135053066482122,1.05837744934425,0.872,0.025501606329999,0.01158892,1.06994928550038,0.144499931987181,1.35053066482122,1.07439873828316,5440.18884204127,18.1798155881019,0.127603877582424,1,1.05837744934425,0
0.18,0.163616647017307,0.143817173743255,1.08121216454,0.878,0.025501606329999,0.01158892,1.09998601323386,0.158196879580404,1.43817173743255,1.10459198746488,5397.31806692294,17.707172085657,0.133014757380612,1,1.08121216454,0
0.19,0.172471555090717,0.152636157435627,1.10341847041528,0.884,0.025501606329999,0.01158892,1.12909910137858,0.172341348198446,1.52636157435627,1.13375158844649,4581.75511388548,17.1394371865458,0.138330254140282,1,1.10341847041528,0
