"wselev","depth","crossarea","wettedperimeter","surfacewidth","manningN","meanslope","velocity","discharge","volume","mvelocity","RTvar","RTmean","hR","island","wettedBperimeter","bank"
0,0,0,1.33682520791692,0,NA,NA,0,0,0,0,18924872354.8328,46181.6610650656,0,0,1.33682520791692,0
0.01,0.00915411643659881,0.0122389646284079,1.33682520791692,1.336,12,0.01158892,0.000392602992277239,4.80505413548824e-06,0.122389646284079,0.000393758868977974,18924872354.8328,46181.6610650656,0.00915524674125428,1,1.33682520791692,0
0.02,0.0182729208607438,0.0261119596660433,1.43105641321819,1.428,12,0.01158892,0.000621768492794403,1.6235593805464e-05,0.261119596660433,0.000623360252042103,8346143830.40849,29461.0349530237,0.0182466319460615,1,1.43105641321819,0
0.03,0.0274057153247039,0.0406971912557551,1.49038166346338,1.484,12,0.01158892,0.000813488707613774,3.31067055181548e-05,0.406971912557551,0.000815371064717787,5819838676.58682,22811.8886245458,0.0273065566045559,1,1.49038166346338,0
0.04,0.0365242986657489,0.0557721161376575,1.53675403334494,1.526,12,0.01158892,0.000983366503214192,5.4844430823144e-05,0.557721161376575,0.000985442566009145,4579712996.56112,19107.5504508399,0.0362921553661144,1,1.53675403334494,0
0.05,0.0456288907448006,0.0712260921590306,1.57609213174372,1.56,12,0.01158892,0.00113818252645313,8.10682935229486e-05,0.712260921590306,0.00114039025985263,3667159023.70398,16632.6437967723,0.0451915790482558,1,1.57609213174372,0
0.06,0.0546778373815438,0.0869922527884242,1.61262907271375,1.59,12,0.01158892,0.00128076946451011,0.000111417021020359,0.869922527884242,0.00128313959815166,3000911773.83973,14853.1482872399,0.0539443659179681,1,1.61262907271375,0
0.07,0.0637919410864503,0.103023443415612,1.64342542131246,1.614,12,0.01158892,0.001415677328265,0.000145847953123273,1.03023443415612,0.0014181605724813,2713624496.51101,13554.705673354,0.0626882376769711,1,1.64342542131246,0
0.08,0.0728700035834565,0.119287636489617,1.67313744728574,1.636,9.43808848343043,0.01158892,0.00196116129726358,0.000233942295925483,1.19287636489617,0.00196443045611934,1451547607.11717,9825.692705487,0.0712957782895433,1,1.67313744728574,0
0.09,0.0819311026295358,0.135759391389024,1.70158604091453,1.656,6.86660738792775,0.01158892,0.00290551582250773,0.00039445105973483,1.35759391389024,0.0029101136535013,691569541.214679,6668.00906083166,0.0797840297961418,1,1.70158604091453,0
0.1,0.0909964220779468,0.152418580590503,1.72852419478997,1.674,4.99500636249348,0.01158892,0.00426966436377433,0.000650776181924336,1.52418580590503,0.00427596320842306,333847912.080743,4561.6838294763,0.0881784478631626,1,1.72852419478997,0
0.11,0.100088455738941,0.169248847583096,1.75366529882746,1.69,3.63013353612291,0.01158892,0.00623952538577811,0.00105603248100842,1.69248847583096,0.00624834401997326,167429381.665472,3143.54105832187,0.0965114880794299,1,1.75366529882746,0
0.12,0.109102564324876,0.18623781616225,1.78001966195049,1.706,2.64543545816606,0.01158892,0.00903551738920944,0.0016827550264624,1.8623781616225,0.00904796905127728,83117238.5223031,2179.83999344146,0.104626830895888,1,1.78001966195049,0
0.13,0.118171795000453,0.203373260667666,1.80420936498679,1.72,1.92411653019761,0.01158892,0.0130555365338081,0.00265514703464639,2.03373260667666,0.0130729361990851,40355532.6418423,1512.51185843813,0.112721541421084,1,1.80420936498679,0
0.14,0.127320083686104,0.220644334414027,1.82588965931985,1.732,1.39559782758745,0.01158892,0.0188541387398088,0.00416005889319484,2.20644334414027,0.0188790903666235,18315050.0641912,1042.57198021559,0.120842096502271,1,1.82588965931985,0
0.15,0.136260673599545,0.238047024639852,1.8519642343313,1.746,1.01966072074075,0.01158892,0.0268896965292684,0.00640101225226089,2.38047024639852,0.0269216270089273,9960481.09291812,740.193311905804,0.128537592803894,1,1.8519642343313,0
0.16,0.145293847770283,0.255571662887183,1.87555984049341,1.758,0.742573750117475,0.01158892,0.0383886705315189,0.00981105636376848,2.55571662887183,0.0384335543248,5018206.47955441,519.785302897373,0.136264200890518,1,1.87555984049341,0
0.17,0.154441987500615,0.273207103350081,1.89693031494674,1.768,0.538605492545022,0.01158892,0.0549175445472877,0.0150038632688635,2.73207103350081,0.0549798744750539,2474381.05618723,364.06921836753,0.144025903955124,1,1.89693031494674,0
0.18,0.163363277247223,0.290949946662364,1.92151204379182,1.78,0.393786139205093,0.01158892,0.077662465019641,0.0225958900551322,2.90949946662364,0.0777515862833249,1215019.57489144,256.824345381133,0.151417186065728,1,1.92151204379182,0
0.19,0.172234305206859,0.308815618161501,1.94410062234952,1.792,0.288414003924442,0.01158892,0.109477654288517,0.0338084094839795,3.08815618161501,0.109601198655677,589004.466808656,181.668353338588,0.158847548635772,1,1.94410062234952,0
0.2,0.18144431059471,0.326781203381073,1.96658610233216,1.8,0.208739361196914,0.01158892,0.15587622052063,0.0509374189202249,3.26781203381073,0.156043986982231,282304.240058706,127.353814500691,0.166166740929139,1,1.96658610233216,0
0.21,0.191029659014659,0.344806219716665,1.98246964510672,1.804,0.149097385976646,0.01158892,0.224973043195008,0.0775721045622248,3.44806219716665,0.225219550833132,133829.410045711,88.0729259604687,0.173927616277879,1,1.98246964510672,0
0.22,0.200597793880418,0.362877956439824,2.00063984647898,1.808,0.106560963695688,0.01158892,0.323706279956153,0.117465873357227,3.62877956439824,0.324063477465207,62263.3956413198,61.0919191793699,0.18138095023873,1,2.00063984647898,0
0.23,0.210147456940098,0.380993185808684,2.01966326819353,1.812,0.0762092808070868,0.01158892,0.46462842990675,0.17702026572746,3.80993185808684,0.465132604985626,31293.6099402862,42.6946829218082,0.188641934429723,1,2.01966326819353,0
