"wselev","depth","crossarea","wettedperimeter","surfacewidth","manningN","meanslope","velocity","discharge","volume","mvelocity","RTvar","RTmean","hR","island","wettedBperimeter","bank"
0,0,0,1.33682520791692,0,NA,NA,0,0,0,0,18924872354.8328,46181.6610650656,0,0,1.33682520791692,0
0.01,0.00915411643659881,0.0122389646284079,1.33682520791692,1.336,12,0.01158892,0.000392602992277239,4.80505413548824e-06,0.122389646284079,0.000393758868977974,18924872354.8328,46181.6610650656,0.00915524674125428,1,1.33682520791692,0
0.02,0.0182729208607438,0.0261119596660433,1.43105641321819,1.428,12,0.01158892,0.000621768492794403,1.6235593805464e-05,0.261119596660433,0.000623360252042103,8346143830.40849,29461.0349530237,0.0182466319460615,1,1.43105641321819,0
0.03,0.0274057153247039,0.0406971912557551,1.49038166346338,1.484,12,0.01158892,0.000813488707613774,3.31067055181548e-05,0.406971912557551,0.000815371064717787,5819838676.58682,22811.8886245458,0.0273065566045559,1,1.49038166346338,0
0.04,0.0365242986657489,0.0557721161376575,1.53675403334494,1.526,12,0.01158892,0.000983366503214192,5.4844430823144e-05,0.557721161376575,0.000985442566009145,4579712996.56112,19107.5504508399,0.0362921553661144,1,1.53675403334494,0
0.05,0.0456288907448006,0.0712260921590306,1.57609213174372,1.56,12,0.01158892,0.00113818252645313,8.10682935229486e-05,0.712260921590306,0.00114039025985263,3667159023.70398,16632.6437967723,0.0451915790482558,1,1.57609213174372,0
0.06,0.0546778373815438,0.0869922527884242,1.61262907271375,1.59,12,0.01158892,0.00128076946451011,0.000111417021020359,0.869922527884242,0.00128313959815166,3000911773.83973,14853.1482872399,0.0539443659179681,1,1.61262907271375,0
0.07,0.0637919410864503,0.103023443415612,1.64342542131246,1.614,12,0.01158892,0.001415677328265,0.000145847953123273,1.03023443415612,0.0014181605724813,2713624496.51101,13554.705673354,0.0626882376769711,1,1.64342542131246,0
0.08,0.0728700035834565,0.119287636489617,1.67313744728574,1.636,9.4546064968761,0.01158892,0.0019577349792367,0.000233533578546195,1.19287636489617,0.00196099842658982,1456632887.73448,9842.88908211635,0.0712957782895433,1,1.67313744728574,0
0.09,0.0819311026295358,0.135759391389024,1.70158604091453,1.656,6.52749832799964,0.01158892,0.00305645982734194,0.000414943125964943,1.35759391389024,0.00306129651954505,624949554.79819,6338.70782712692,0.0797840297961418,1,1.70158604091453,0
0.1,0.0909964220779468,0.152418580590503,1.72852419478997,1.674,4.50583349685875,0.01158892,0.00473319768198994,0.000721427272343165,1.52418580590503,0.00474018035658692,271660722.583243,4114.9472711928,0.0881784478631626,1,1.72852419478997,0
0.11,0.100088455738941,0.169248847583096,1.75366529882746,1.69,3.10691340384166,0.01158892,0.007290293422532,0.00123387376030617,1.69248847583096,0.00730059715989881,122643565.737444,2690.45470433519,0.0965114880794299,1,1.75366529882746,0
0.12,0.109102564324876,0.18623781616225,1.78001966195049,1.706,2.14915066735842,0.01158892,0.0111220113356084,0.0020713391024755,1.8623781616225,0.0111373383523912,54856802.6768284,1770.90110521427,0.104626830895888,1,1.78001966195049,0
0.13,0.118171795000453,0.203373260667666,1.80420936498679,1.72,1.48328902012051,0.01158892,0.0169355892982057,0.00344424601690452,2.03373260667666,0.0169581600737762,23982359.3617588,1165.98563403691,0.112721541421084,1,1.80420936498679,0
0.14,0.127320083686104,0.220644334414027,1.82588965931985,1.732,1.02042450311099,0.01158892,0.0257861262504861,0.00568956266365457,2.20644334414027,0.0258202516914875,9791501.57063928,762.301268917871,0.120842096502271,1,1.82588965931985,0
0.15,0.136260673599545,0.238047024639852,1.8519642343313,1.746,0.707984995791811,0.01158892,0.0387273282717935,0.00921892526735126,2.38047024639852,0.0387733154835227,4801943.47531895,513.941302391305,0.128537592803894,1,1.8519642343313,0
0.16,0.145293847770283,0.255571662887183,1.87555984049341,1.758,0.489354090768656,0.01158892,0.058253153649615,0.0148878553466547,2.55571662887183,0.0583212628722106,2179293.82043039,342.53710726243,0.136264200890518,1,1.87555984049341,0
