year,month,day,hour,PARps
2012,1,10,1,0
2012,1,10,2,0
2012,1,10,3,0
2012,1,10,4,0
2012,1,10,5,0
2012,1,10,6,0.04419949
2012,1,10,7,14.4138563
2012,1,10,8,75.5564693
2012,1,10,9,167.400175
2012,1,10,10,196.68194
2012,1,10,11,198.902933
2012,1,10,12,200.278335
2012,1,10,13,138.929932
2012,1,10,14,87.8554237
2012,1,10,15,58.8096336
2012,1,10,16,21.8627563
2012,1,10,17,1.17370191
2012,1,10,18,0
2012,1,10,19,0
2012,1,10,20,0
2012,1,10,21,0
2012,1,10,22,0
2012,1,10,23,0
2012,1,11,0,0
2012,1,11,1,0
2012,1,11,2,0
2012,1,11,3,0
2012,1,11,4,0
2012,1,11,5,0
2012,1,11,6,0.01597855
2012,1,11,7,5.34033545
2012,1,11,8,31.5157637
2012,1,11,9,62.389526
2012,1,11,10,76.0411834
2012,1,11,11,78.6730498
2012,1,11,12,78.3529791
2012,1,11,13,56.191757
2012,1,11,14,34.3513499
2012,1,11,15,22.6348469
2012,1,11,16,9.25749884
2012,1,11,17,0.447521
2012,1,11,18,0
2012,1,11,19,0
2012,1,11,20,0
2012,1,11,21,0
2012,1,11,22,0
2012,1,11,23,0
2012,1,12,0,0
2012,1,12,1,0
2012,1,12,2,0
2012,1,12,3,0
2012,1,12,4,0
2012,1,12,5,0
2012,1,12,6,0.02280654
2012,1,12,7,7.7942017
2012,1,12,8,44.3656677
2012,1,12,9,86.2529186
2012,1,12,10,108.154543
2012,1,12,11,106.861083
2012,1,12,12,112.872338
2012,1,12,13,80.28307
2012,1,12,14,49.3330993
2012,1,12,15,32.0832607
2012,1,12,16,12.2334079
2012,1,12,17,0.62310279
2012,1,12,18,0
2012,1,12,19,0
2012,1,12,20,0
2012,1,12,21,0
2012,1,12,22,0
2012,1,12,23,0
2012,1,13,0,0
2012,1,13,1,0
2012,1,13,2,0
2012,1,13,3,0
2012,1,13,4,0
2012,1,13,5,0
2012,1,13,6,0.01992305
2012,1,13,7,7.25015209
2012,1,13,8,39.6696091
2012,1,13,9,81.7198357
2012,1,13,10,97.6844023
2012,1,13,11,100.909788
2012,1,13,12,96.4840848
2012,1,13,13,71.2218935
2012,1,13,14,47.8033443
2012,1,13,15,29.2619031
2012,1,13,16,11.7807543
2012,1,13,17,0.55817823
2012,1,13,18,0
2012,1,13,19,0
2012,1,13,20,0
2012,1,13,21,0
2012,1,13,22,0
2012,1,13,23,0
2012,1,14,0,0
2012,1,14,1,0
2012,1,14,2,0
2012,1,14,3,0
2012,1,14,4,0
2012,1,14,5,0
2012,1,14,6,0.01787809
2012,1,14,7,5.84480467
2012,1,14,8,32.6308972
2012,1,14,9,67.0347075
2012,1,14,10,82.994104
2012,1,14,11,83.676917
2012,1,14,12,84.817148
2012,1,14,13,59.6522369
2012,1,14,14,39.2286815
2012,1,14,15,23.8998324
2012,1,14,16,9.2329941
2012,1,14,17,0.44708498
2012,1,14,18,0
2012,1,14,19,0
2012,1,14,20,0
2012,1,14,21,0
2012,1,14,22,0
2012,1,14,23,0
2012,1,15,0,0
2012,1,15,1,0
2012,1,15,2,0
2012,1,15,3,0
2012,1,15,4,0
2012,1,15,5,0
2012,1,15,6,0.02273723
2012,1,15,7,7.34271456
2012,1,15,8,38.9160582
2012,1,15,9,82.9706353
2012,1,15,10,97.9322945
2012,1,15,11,98.4356811
2012,1,15,12,101.342647
2012,1,15,13,71.0998277
2012,1,15,14,47.9548311
2012,1,15,15,30.5415515
2012,1,15,16,11.3792628
2012,1,15,17,0.55248518
2012,1,15,18,0
2012,1,15,19,0
2012,1,15,20,0
2012,1,15,21,0
2012,1,15,22,0
2012,1,15,23,0
