year,month,day,flow
2006,5,3,2.26149872
2006,5,4,2.17807203
2006,5,5,2.02164699
2006,5,6,1.87565029
2006,5,7,1.85479362
2006,5,8,2.08421701
2006,5,9,1.89650696
2006,5,10,1.78179527
2006,5,11,25.2455511
2006,5,12,8.66449698
2006,5,13,3.28347564
2006,5,14,2.53263545
2006,5,15,12.9401147
2006,5,16,3.50247069
2006,5,17,2.7203455
2006,5,18,4.36802258
2006,5,19,3.20004895
2006,5,20,2.43878043
2006,5,21,2.40749542
2006,5,22,2.40749542
2006,5,23,2.40749542
2006,5,24,2.40749542
2006,5,25,2.40749542
2006,5,26,2.28235539
2006,5,27,2.26149872
2006,5,28,2.14678702
2006,5,29,2.12593035
2006,5,30,2.12593035
2006,5,31,2.12593035
2006,6,1,4.59744597
2006,6,2,9.83247061
2006,6,3,13.9829483
2006,6,4,2.25107038
2006,6,5,1.80265194
2006,6,6,1.63579856
2006,6,7,1.56280021
2006,6,8,4.24288255
2006,6,9,2.96019723
2006,6,10,1.83393695
2006,6,11,1.56280021
2006,6,12,2.89762721
2006,6,13,1.57322855
2006,6,14,2.26149872
2006,6,15,2.17807203
2006,6,16,1.30209181
2006,6,17,1.19780845
2006,6,18,1.29166348
2006,6,19,2.78291552
2006,6,20,5.41085617
2006,6,21,1.5002302
2006,6,22,1.59408522
2006,6,23,11.8972811
2006,6,24,13.3572482
2006,6,25,129.111777
2006,6,26,100.225286
2006,6,27,17.1114491
2006,6,28,14.5043651
2006,6,29,3.78403576
2006,6,30,2.91848388
2006,7,1,2.58477713
2006,7,2,2.41792376
2006,7,3,2.78291552
2006,7,4,2.73077384
2006,7,5,5.64027956
2006,7,6,14.2957984
2006,7,7,2.76205884
2006,7,8,2.40749542
2006,7,9,2.40749542
2006,7,10,2.28235539
2006,7,11,2.1989287
2006,7,12,2.12593035
2006,7,13,2.06336034
2006,7,14,1.96950531
2006,7,15,1.96950531
2006,7,16,1.95907698
2006,7,17,1.94864864
2006,7,18,2.41792376
2006,7,19,2.64734715
2006,7,20,1.87565029
2006,7,21,1.85479362
2006,7,22,15.1300653
2006,7,23,3.07490892
2006,7,24,1.96950531
2006,7,25,1.87565029
2006,7,26,1.87565029
2006,7,27,1.74008192
