year,month,day,hour,temp
2012,1,8,18,8.88130624
2012,1,8,19,8.63763294
2012,1,8,20,8.40827455
2012,1,8,21,8.20272366
2012,1,8,22,8.02037444
2012,1,8,23,7.90080019
2012,1,9,0,9.96044051
2012,1,9,1,9.65802741
2012,1,9,2,9.4657976
2012,1,9,3,9.26602931
2012,1,9,4,9.17847858
2012,1,9,5,9.00943769
2012,1,9,6,8.91313894
2012,1,9,7,8.94313472
2012,1,9,8,9.06884442
2012,1,9,9,9.45221773
2012,1,9,10,10.4034584
2012,1,9,11,11.1379131
2012,1,9,12,11.7658117
2012,1,9,13,12.1233944
2012,1,9,14,11.9271505
2012,1,9,15,11.593634
2012,1,9,16,11.1516922
2012,1,9,17,10.7462122
2012,1,9,18,10.3563869
2012,1,9,19,10.048754
2012,1,9,20,9.82182729
2012,1,9,21,9.53163563
2012,1,9,22,9.38116187
2012,1,9,23,9.20832135
2012,1,10,0,8.33814583
2012,1,10,1,8.07709457
2012,1,10,2,7.92583215
2012,1,10,3,7.76534704
2012,1,10,4,7.67379125
2012,1,10,5,7.55295247
2012,1,10,6,7.47245203
2012,1,10,7,7.47167637
2012,1,10,8,7.58936487
2012,1,10,9,7.91448553
2012,1,10,10,8.72606142
2012,1,10,11,9.35614089
2012,1,10,12,9.84507167
2012,1,10,13,10.177475
2012,1,10,14,9.92371253
2012,1,10,15,9.69737001
2012,1,10,16,9.32720995
2012,1,10,17,8.98746347
2012,1,10,18,8.66766036
2012,1,10,19,8.42837124
2012,1,10,20,8.24006548
2012,1,10,21,8.00392715
2012,1,10,22,7.83533971
2012,1,10,23,7.68456247
2012,1,11,0,8.66047861
2012,1,11,1,8.40173325
2012,1,11,2,8.22834366
2012,1,11,3,8.06820832
2012,1,11,4,7.96246384
2012,1,11,5,7.85413207
2012,1,11,6,7.75995188
2012,1,11,7,7.75296073
2012,1,11,8,7.88349154
2012,1,11,9,8.22200096
2012,1,11,10,9.03809514
2012,1,11,11,9.70769494
2012,1,11,12,10.2126615
2012,1,11,13,10.5358744
2012,1,11,14,10.3641387
2012,1,11,15,10.0384678
2012,1,11,16,9.73274422
