patch,drain,uaa,dist,accDist,zoneID,lateralInput,laterFrac,PARinputFile,LateralNFlexFile,LateralPFlexFile,LateralQFlexFile,waterTempFile,ChannelVelocityFile,detritusInputFile
2928,1,60866,4.71404521,62.7614238,4,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1762,8,60918,3.33333333,66.0947571,4,52,0.00075031,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1763,8,60934,3.33333333,69.4280904,4,16,0.00023086,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1764,8,60945,3.33333333,72.7614238,4,11,0.00015872,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1771,8,60977,3.33333333,76.0947571,4,32,0.00046173,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1772,8,61008,3.33333333,79.4280904,4,31,0.0004473,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1773,8,61017,3.33333333,82.7614238,5,9,0.00012986,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1780,8,61035,3.33333333,86.0947571,5,18,0.00025972,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1781,8,61050,3.33333333,89.4280904,5,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1782,8,61058,3.33333333,92.7614238,5,8,0.00011543,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1789,8,61091,3.33333333,96.0947571,5,33,0.00047616,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1790,8,61136,3.33333333,99.4280904,5,45,0.0006493,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1791,8,61161,3.33333333,102.761424,6,25,0.00036072,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1798,8,61192,3.33333333,106.094757,6,31,0.0004473,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1799,8,61220,3.33333333,109.42809,6,28,0.00040401,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1800,8,61245,3.33333333,112.761424,6,25,0.00036072,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
3220,8,61259,3.33333333,116.094757,6,14,0.00020201,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
3221,8,61274,3.33333333,119.42809,6,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
3222,8,61288,3.33333333,122.761424,7,14,0.00020201,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
1636,8,61303,3.33333333,126.094757,7,15,0.00021644,inputs/unrestored_Parps.csv,inputs/rhessys_SLB_USGS_WRTDS_NO3_mgNpl.csv,inputs/rhessys_SLB_USGS_WRTDS_PO4_ugPpl.csv,inputs/AJ_synthicFlow.csv,inputs/unrestored_temp.csv,inputs/channel_ratingTable.csv,inputs/unrestored_detritus.csv
