"(Intercept)","logN"
-1.82648262553142,-0.658871497554833
-2.01025296260941,-0.574620310059214
-2.24728656330358,-0.470277890070216
-1.90320536233285,-0.622629674820972
-2.34535418435609,-0.428196983839993
-2.17938395483405,-0.498786157086826
-2.25994133201805,-0.462895414893634
-2.35821297461147,-0.420391328110154
-1.97671132410489,-0.585163691021247
-2.0682053546994,-0.544153657291801
-1.9649402091009,-0.590329876250234
-1.97546575135247,-0.585013167452652
-2.12967523719828,-0.516090454836991
-2.00132439538925,-0.572846703353481
-2.09268034121994,-0.532230679744793
-1.98107155337648,-0.581752987152122
-2.48592681729846,-0.364410417498192
-2.13919908879846,-0.510121577658038
-2.13289756726776,-0.511763213330862
-1.9939408126213,-0.57292210156435
-1.98613932184528,-0.576149947246698
-2.11390914232258,-0.518822198749823
-1.97153866618306,-0.581688211240614
-1.9862771506899,-0.574875665852061
-2.2126019334075,-0.475218588628488
-2.06204590558756,-0.54059764148912
-1.98520271022313,-0.574181733739723
-2.10081458642729,-0.522634617976698
-2.42652660965726,-0.382090493052437
-2.12908028314436,-0.507842983508599
-2.02353387252361,-0.553356271840547
-2.025904183775,-0.551923771195725
-2.02419670701876,-0.552299563751883
-2.07603973555863,-0.52845567855226
-2.01834874613558,-0.553370830142059
-2.02010712855901,-0.552341927762819
-2.07606837379781,-0.5270209120448
-2.16941770519225,-0.486230677344866
-2.0119177443275,-0.555165670600296
-1.96013275540477,-0.578169689892242
-1.95881813819066,-0.578607146745009
-1.93485194613459,-0.588751028190229
-2.031146331962,-0.544487271164837
-1.98716426321591,-0.563735411162792
-1.89104665424607,-0.606146415934029
-2.05295492886258,-0.533584626108379
-1.84236471807078,-0.628040302414099
-1.93800224390296,-0.583608383163281
-2.32139694973683,-0.416657434905863
-1.94687318362068,-0.579149781705557
-2.16678384057638,-0.481974177809095
-1.93518882920002,-0.583780197601749
-1.89827706611178,-0.600201745486165
-2.11575392604236,-0.503566560971675
-2.08349626262135,-0.517611441808361
-2.19176325179853,-0.470630484698309
-1.93871910629505,-0.581706785185994
-2.18269778798406,-0.473998571986159
-1.97144149464583,-0.566263338279799
-2.0403731018094,-0.535551381898752
-2.07839566242629,-0.518408760196439
-2.02051200764704,-0.543797139600255
-1.74291645231201,-0.66998651914143
-2.05210394926466,-0.528427167358705
-2.258896687099,-0.438742648366001
-2.22149004965306,-0.453591862064166
-1.9667308916644,-0.564547777994603
-2.20123838506862,-0.461035619501044
-2.09145328325074,-0.505935508774665
-2.18390109695562,-0.465249282621268
-2.06627339892138,-0.515788140953078
-2.01350122052071,-0.537827500015367
-1.88759473933934,-0.594000623062173
-2.02243238670845,-0.531908498467088
-2.25881275921084,-0.429806897972818
-2.0642850326994,-0.5121626059896
-2.29376725564623,-0.413794946727199
-1.91251805154469,-0.578983770109838
-2.09761573211758,-0.496897966334616
-2.06071660138647,-0.512778580196518
-2.18350310543505,-0.459515321933669
