year,month,day,hour,PAR,temperature
2012,1,7,2,0,5.354265758
2012,1,7,3,0,5.372628344
2012,1,7,4,0,5.159054942
2012,1,7,5,0,5.17584001
2012,1,7,6,0.074761613,5.031980463
2012,1,7,7,32.54056399,5.112509517
2012,1,7,8,175.2388421,5.19600843
2012,1,7,9,154.7408452,5.316323506
2012,1,7,10,511.0672231,5.816843312
2012,1,7,11,232.4529167,6.259629115
2012,1,7,12,216.2862749,6.935814546
2012,1,7,13,166.5460834,7.088406882
2012,1,7,14,106.7412022,6.805419275
2012,1,7,15,108.9936959,6.720483799
2012,1,7,16,19.57930165,6.41931429
2012,1,7,17,0.227435872,6.080869664
2012,1,7,18,0,5.871314155
2012,1,7,19,0,5.60964986
2012,1,7,20,0,5.545146777
2012,1,7,21,0,5.153395084
2012,1,7,22,0,5.148994569
2012,1,7,23,0,5.114034223
2012,1,8,0,0,8.772133716
2012,1,8,1,0,8.464937469
2012,1,8,2,0,8.347367173
2012,1,8,3,0,8.199973068
2012,1,8,4,0,8.113384814
2012,1,8,5,0,7.924038853
2012,1,8,6,0.038757484,8.159439542
2012,1,8,7,10.46728438,8.107930826
2012,1,8,8,52.84613412,8.060121709
2012,1,8,9,140.2142943,8.424712347
2012,1,8,10,193.7676742,8.733022237
2012,1,8,11,146.8509044,10.000869
2012,1,8,12,157.4533043,10.59451584
2012,1,8,13,132.7261408,11.00542925
2012,1,8,14,132.2787194,10.21547804
2012,1,8,15,57.0072978,10.00804462
2012,1,8,16,16.57238806,10.02452627
2012,1,8,17,1.555254444,9.373611221
2012,1,8,18,0,8.943450553
2012,1,8,19,0,9.164288208
2012,1,8,20,0,8.741875461
2012,1,8,21,0,8.558498233
2012,1,8,22,0,7.949442019
2012,1,8,23,0,7.699564235
2012,1,9,0,0,10.03622464
2012,1,9,1,0,9.815933166
2012,1,9,2,0,9.528873848
2012,1,9,3,0,9.380006911
2012,1,9,4,0,9.242428277
2012,1,9,5,0,8.911511903
2012,1,9,6,0.016311835,8.692826144
2012,1,9,7,6.201622481,8.994484212
2012,1,9,8,28.25500526,9.145733349
2012,1,9,9,60.18662208,9.643227484
2012,1,9,10,51.22515619,10.24990231
2012,1,9,11,73.50615986,11.54595998
2012,1,9,12,39.35058044,12.42440122
2012,1,9,13,49.78206018,12.29126844
2012,1,9,14,31.54867684,12.04426184
2012,1,9,15,7.998634827,11.64539411
2012,1,9,16,5.25522774,11.54802154
2012,1,9,17,0.384307967,10.89629426
2012,1,9,18,0,10.91256002
2012,1,9,19,0,10.4535865
2012,1,9,20,0,9.540445245
2012,1,9,21,0,9.34927779
2012,1,9,22,0,8.829756912
2012,1,9,23,0,9.371821918
2012,1,10,0,0,8.470266767
2012,1,10,1,0,8.178048246
2012,1,10,2,0,8.090207264
2012,1,10,3,0,7.881830448
2012,1,10,4,0,7.6918717
2012,1,10,5,0,7.529828568
2012,1,10,6,0.010921358,7.355586571
2012,1,10,7,26.6052334,7.458953275
2012,1,10,8,40.72610512,7.616350524
2012,1,10,9,136.7141606,8.114629064
2012,1,10,10,140.815648,8.642549388
2012,1,10,11,175.3768884,9.049662476
2012,1,10,12,108.131715,9.9663584
2012,1,10,13,136.977176,10.47939324
2012,1,10,14,69.32635941,10.09485608
2012,1,10,15,33.88595741,9.687546432
2012,1,10,16,22.31108298,9.156295393
2012,1,10,17,1.920761323,8.950894934
2012,1,10,18,0,8.714132473
2012,1,10,19,0,8.060299452
2012,1,10,20,0,8.192091707
2012,1,10,21,0,7.927308275
2012,1,10,22,0,7.782042583
2012,1,10,23,0,7.493994521
2012,1,11,0,0,8.90512112
2012,1,11,1,0,8.636025779
2012,1,11,2,0,8.504966363
2012,1,11,3,0,8.205105046
2012,1,11,4,0,8.365214048
2012,1,11,5,0,7.834709722
2012,1,11,6,0.012023826,7.819288987
2012,1,11,7,1.724095673,8.118175489
2012,1,11,8,39.26983392,8.043375569
2012,1,11,9,44.78514842,8.226883821
2012,1,11,10,75.48990354,9.294098411
2012,1,11,11,73.20213225,10.06655431
2012,1,11,12,94.48625888,10.65832121
2012,1,11,13,53.43784075,11.16274404
2012,1,11,14,48.84706942,10.53383089
2012,1,11,15,44.96448246,10.40265676
2012,1,11,16,13.65193411,10.2209607
2012,1,11,17,0.289762939,9.600173128
2012,1,11,18,0,9.052070635
2012,1,11,19,0,9.089041992
2012,1,11,20,0,8.728281717
2012,1,11,21,0,8.409746716
2012,1,11,22,0,8.516715869
2012,1,11,23,0,8.192226176
2012,1,12,0,0,10.18601304
2012,1,12,1,0,9.960612501
2012,1,12,2,0,9.752801355
2012,1,12,3,0,9.507230176
2012,1,12,4,0,9.420224815
2012,1,12,5,0,9.255814026
2012,1,12,6,0.016588232,8.938639141
2012,1,12,7,8.644826524,9.039625791
2012,1,12,8,50.17151098,9.249009708
2012,1,12,9,91.68830751,9.797438126
2012,1,12,10,127.3651016,10.6245839
2012,1,12,11,124.4362283,11.39591852
2012,1,12,12,124.1771511,12.185181
2012,1,12,13,57.6336637,12.32653648
2012,1,12,14,28.06676268,11.99069791
2012,1,12,15,2.922062079,11.3739822
2012,1,12,16,20.92915678,11.89091427
2012,1,12,17,0.783077476,11.21431389
2012,1,12,18,0,10.62313917
2012,1,12,19,0,10.24573757
2012,1,12,20,0,10.05828519
2012,1,12,21,0,9.735693628
2012,1,12,22,0,9.526987426
2012,1,12,23,0,8.984013261
2012,1,13,0,0,9.389740048
2012,1,13,1,0,9.130185549
2012,1,13,2,0,8.85990593
2012,1,13,3,0,8.530033863
2012,1,13,4,0,8.787537989
2012,1,13,5,0,8.480355059
2012,1,13,6,0.022417381,8.54141782
2012,1,13,7,5.73398187,8.278710207
2012,1,13,8,28.73439918,8.484877856
2012,1,13,9,80.32441088,8.923776649
2012,1,13,10,100.609537,9.608952761
2012,1,13,11,102.0753644,10.50952614
2012,1,13,12,70.62541705,10.53730761
2012,1,13,13,97.87314427,10.84832114
2012,1,13,14,37.59450651,11.14537241
2012,1,13,15,3.642364222,10.66438073
2012,1,13,16,20.50458146,10.64546004
2012,1,13,17,0.786828569,10.36654715
2012,1,13,18,0,9.541772829
2012,1,13,19,0,9.405368913
2012,1,13,20,0,9.436253596
2012,1,13,21,0,9.230634507
2012,1,13,22,0,8.685857062
2012,1,13,23,0,8.643219993
2012,1,14,0,0,9.742942838
2012,1,14,1,0,9.492902483
2012,1,14,2,0,9.367394733
2012,1,14,3,0,9.015958022
